graph_class,seed,nodes,edges,density,is_dense,avg_clustering_coefficient,avg_betweenness_centrality,avg_degree_centrality,avg_path_length,small_world_sigma,modularity
dense_random,0,100,3447,0.696364,True,0.698121,0.003098,0.696364,1.303636,0.836587,0.044503
dense_random,0,100,4446,0.898182,True,0.898671,0.001039,0.898182,1.101818,0.931847,0.017978
powerlaw,0,100,291,0.058788,False,0.208674,0.015749,0.058788,2.543434,3.648993,0.347516
powerlaw,0,100,475,0.09596,False,0.195201,0.01242,0.09596,2.217172,1.876761,0.245157
complete,0,50,1225,1.0,True,1.0,0.0,1.0,1.0,1.005191,0.0
unit_disk,0,100,522,0.105455,False,0.660339,0.028002,0.105455,3.744242,3.283379,0.612379
unit_disk,0,100,1068,0.215758,False,0.688032,0.014294,0.215758,2.400808,1.997993,0.432018
grid_2d,0,100,180,0.036364,False,0.0,0.057823,0.036364,6.666667,0.0,0.633549
grid_2d,0,225,420,0.016667,False,0.0,0.040359,0.016667,10.0,0.0,0.720779
dense_random,1,100,3451,0.697172,True,0.698582,0.00309,0.697172,1.302828,0.836459,0.042729
dense_random,1,100,4435,0.89596,True,0.895803,0.001062,0.89596,1.10404,0.929817,0.014261
powerlaw,1,100,291,0.058788,False,0.161901,0.016145,0.058788,2.582222,2.788561,0.34356
powerlaw,1,100,475,0.09596,False,0.188553,0.012387,0.09596,2.213939,1.815489,0.250296
complete,1,50,1225,1.0,True,1.0,0.0,1.0,1.0,1.005191,0.0
unit_disk,1,100,510,0.10303,False,0.636242,0.026895,0.10303,3.635758,3.368009,0.598035
unit_disk,1,100,1053,0.212727,False,0.674721,0.014207,0.212727,2.392323,2.003554,0.413179
grid_2d,1,100,180,0.036364,False,0.0,0.057823,0.036364,6.666667,0.0,0.633549
grid_2d,1,225,420,0.016667,False,0.0,0.040359,0.016667,10.0,0.0,0.720779
dense_random,2,100,3451,0.697172,True,0.696564,0.00309,0.697172,1.302828,0.834042,0.04465
dense_random,2,100,4459,0.900808,True,0.900391,0.001012,0.900808,1.099192,0.932527,0.016087
powerlaw,2,100,291,0.058788,False,0.132684,0.016048,0.058788,2.572727,2.29376,0.34826
powerlaw,2,100,475,0.09596,False,0.191803,0.012426,0.09596,2.217778,1.84358,0.24751
complete,2,50,1225,1.0,True,1.0,0.0,1.0,1.0,1.005191,0.0
unit_disk,2,100,477,0.096364,False,0.632391,0.028963,0.096364,3.838384,3.490826,0.664594
unit_disk,2,100,984,0.198788,False,0.688644,0.015013,0.198788,2.471313,2.166528,0.501451
grid_2d,2,100,180,0.036364,False,0.0,0.057823,0.036364,6.666667,0.0,0.633549
grid_2d,2,225,420,0.016667,False,0.0,0.040359,0.016667,10.0,0.0,0.720779
dense_random,3,100,3459,0.698788,True,0.699695,0.003074,0.698788,1.301212,0.836435,0.045362
dense_random,3,100,4485,0.906061,True,0.905973,0.000959,0.906061,1.093939,0.936136,0.016696
powerlaw,3,100,291,0.058788,False,0.139201,0.016139,0.058788,2.581616,2.398141,0.339669
powerlaw,3,100,475,0.09596,False,0.231469,0.012292,0.09596,2.204646,2.238101,0.251652
complete,3,50,1225,1.0,True,1.0,0.0,1.0,1.0,1.005191,0.0
unit_disk,3,100,539,0.108889,False,0.665832,0.022643,0.108889,3.459351,3.036722,0.642809
unit_disk,3,100,1067,0.215556,False,0.703177,0.014199,0.215556,2.391515,2.052456,0.497976
grid_2d,3,100,180,0.036364,False,0.0,0.057823,0.036364,6.666667,0.0,0.633549
grid_2d,3,225,420,0.016667,False,0.0,0.040359,0.016667,10.0,0.0,0.720779
dense_random,4,100,3451,0.697172,True,0.696701,0.00309,0.697172,1.302828,0.834207,0.041433
dense_random,4,100,4470,0.90303,True,0.903025,0.000989,0.90303,1.09697,0.93433,0.016245
powerlaw,4,100,291,0.058788,False,0.104462,0.016605,0.058788,2.627273,1.768387,0.344776
powerlaw,4,100,475,0.09596,False,0.165689,0.012599,0.09596,2.234747,1.580485,0.245509
complete,4,50,1225,1.0,True,1.0,0.0,1.0,1.0,1.005191,0.0
unit_disk,4,100,502,0.101414,False,0.67958,0.032074,0.101414,4.143232,3.229093,0.662991
unit_disk,4,100,969,0.195758,False,0.706981,0.016026,0.195758,2.570505,2.182745,0.534646
grid_2d,4,100,180,0.036364,False,0.0,0.057823,0.036364,6.666667,0.0,0.633549
grid_2d,4,225,420,0.016667,False,0.0,0.040359,0.016667,10.0,0.0,0.720779
dense_random,5,100,3480,0.70303,True,0.703481,0.00303,0.70303,1.29697,0.837424,0.043858
dense_random,5,100,4443,0.897576,True,0.897722,0.001045,0.897576,1.102424,0.93112,0.017905
powerlaw,5,100,291,0.058788,False,0.118455,0.016671,0.058788,2.633737,2.000349,0.342379
powerlaw,5,100,475,0.09596,False,0.171307,0.012348,0.09596,2.210101,1.652296,0.237828
complete,5,50,1225,1.0,True,1.0,0.0,1.0,1.0,1.005191,0.0
unit_disk,5,100,529,0.106869,False,0.654681,0.028316,0.106869,3.774949,3.168052,0.595145
unit_disk,5,100,1035,0.209091,False,0.697046,0.014989,0.209091,2.468889,2.052148,0.474064
grid_2d,5,100,180,0.036364,False,0.0,0.057823,0.036364,6.666667,0.0,0.633549
grid_2d,5,225,420,0.016667,False,0.0,0.040359,0.016667,10.0,0.0,0.720779
dense_random,6,100,3463,0.699596,True,0.700367,0.003065,0.699596,1.300404,0.836563,0.046392
dense_random,6,100,4433,0.895556,True,0.895429,0.001066,0.895556,1.104444,0.9296,0.015875
powerlaw,6,100,291,0.058788,False,0.099426,0.016759,0.058788,2.642424,1.673478,0.365289
powerlaw,6,100,475,0.09596,False,0.159391,0.01261,0.09596,2.235758,1.519719,0.248406
complete,6,50,1225,1.0,True,1.0,0.0,1.0,1.0,1.005191,0.0
unit_disk,6,100,512,0.103434,False,0.629266,0.029524,0.103434,3.893333,3.093339,0.63555
unit_disk,6,100,1010,0.20404,False,0.681488,0.015176,0.20404,2.487273,2.05741,0.508785
grid_2d,6,100,180,0.036364,False,0.0,0.057823,0.036364,6.666667,0.0,0.633549
grid_2d,6,225,420,0.016667,False,0.0,0.040359,0.016667,10.0,0.0,0.720779
dense_random,7,100,3457,0.698384,True,0.698899,0.003078,0.698384,1.301616,0.835821,0.044232
dense_random,7,100,4454,0.899798,True,0.899913,0.001022,0.899798,1.100202,0.932454,0.017871
powerlaw,7,100,291,0.058788,False,0.152078,0.016087,0.058788,2.576566,2.625125,0.341434
powerlaw,7,100,475,0.09596,False,0.179159,0.012472,0.09596,2.222222,1.718612,0.265633
complete,7,50,1225,1.0,True,1.0,0.0,1.0,1.0,1.005191,0.0
unit_disk,7,100,497,0.100404,False,0.646289,0.028147,0.100404,3.758384,3.434323,0.635406
unit_disk,7,100,1028,0.207677,False,0.679619,0.014682,0.207677,2.438788,2.043907,0.478124
grid_2d,7,100,180,0.036364,False,0.0,0.057823,0.036364,6.666667,0.0,0.633549
